"date","precipitation","temp_mean","temp_highest","temp_lowest","PM10","PM2.5","humidity","sunshine_sum","sunshine_rate","wind_mean","wind_max","rental","weekday","season"
2018-01-01,2.46179775280899,-1.3,3.8,-5.1,34,17,39.1,8.3,86.5,1.4,3.8,4950,"Weekday","Winter"
2018-01-02,2.46179775280899,-1.8,1.8,-4.3,36,22,42,7.9,82.3,1.8,4.9,7136,"Weekday","Winter"
2018-01-03,2.46179775280899,-4.7,-0.4,-7.1,31,19,42.3,8.6,88.7,2.2,3.5,7156,"Weekday","Winter"
2018-01-04,2.46179775280899,-4.7,-0.7,-8.7,39,24,43,6.2,63.9,1.4,3.5,7102,"Weekday","Winter"
2018-01-05,2.46179775280899,-3,1.6,-5.6,51,35,48.4,8.2,84.5,1.7,3.6,7705,"Weekday","Winter"
2018-01-06,2.46179775280899,-2.8,2.9,-6.8,38,27,45.8,8.8,90.7,1.5,3.1,5681,"Holiday","Winter"
2018-01-07,2.46179775280899,-0.8,2.8,-5.7,47,36,42.1,3.1,32,0.8,2.5,5220,"Holiday","Winter"
2018-01-08,0.9,1.3,4,-1.2,49,37,51.9,0.5,5.2,1.8,7.1,6309,"Weekday","Winter"
2018-01-09,0.5,-4.2,-1.2,-6.1,37,19,59.4,8.4,86.6,2.9,6.1,5988,"Weekday","Winter"
2018-01-10,0.3,-7.5,-4.8,-10.3,27,13,52,8.8,89.8,3,6.1,4476,"Weekday","Winter"
2018-01-11,2.46179775280899,-11.1,-7.4,-13.6,30,22,49.8,8.7,88.8,2.8,4.9,4337,"Weekday","Winter"
2018-01-12,0,-10.2,-5.4,-15.3,21,14,35.4,8.8,89.8,1.7,3.6,4401,"Weekday","Winter"
2018-01-13,0.4,-4.4,-1.2,-6.6,48,37,67.3,0.9,9.2,0.8,1.7,3756,"Holiday","Winter"
2018-01-14,2.46179775280899,0.6,5.4,-4.4,64,50,64.1,5.6,57.1,1.2,2.8,4675,"Holiday","Winter"
2018-01-15,0.2,4.7,7.7,1.8,63,45,63.9,6.5,65.7,1.4,3.3,6993,"Weekday","Winter"
2018-01-16,0,3.5,6.8,0.1,97,74,59.1,0.5,5.1,0.7,2.2,7421,"Weekday","Winter"
2018-01-17,2.46179775280899,4.5,8.7,2.4,99,78,64.1,4.8,48.5,1.2,3.7,6990,"Weekday","Winter"
2018-01-18,2.46179775280899,2.1,4.5,0.3,46.205223880597,29.4179104477612,59.6,6.40671641791045,0,1.9,3.8,7054,"Weekday","Winter"
2018-01-19,2.46179775280899,1,5.5,-2.5,51,28,43,8.7,87.9,1.6,3.7,8329,"Weekday","Winter"
2018-01-20,2.46179775280899,2.2,6.9,-1,86,56,57.6,5.3,53,1.6,3.6,6148,"Holiday","Winter"
