"date","precipitation","temp_mean","temp_highest","temp_lowest","PM10","PM2.5","humidity","sunshine_sum","sunshine_rate","wind_mean","wind_max","rental","weekday","season","precipitation2","pred"
2018-01-01,2.46179775280899,-1.3,3.8,-5.1,34,17,39.1,8.3,86.5,1.4,3.8,4950,"평일","겨울",6.06044817573539,-5219.26317884756
2018-01-02,2.46179775280899,-1.8,1.8,-4.3,36,22,42,7.9,82.3,1.8,4.9,7136,"평일","겨울",6.06044817573539,-11048.008252312
2018-01-03,2.46179775280899,-4.7,-0.4,-7.1,31,19,42.3,8.6,88.7,2.2,3.5,7156,"평일","겨울",6.06044817573539,-10210.5504441024
2018-01-04,2.46179775280899,-4.7,-0.7,-8.7,39,24,43,6.2,63.9,1.4,3.5,7102,"평일","겨울",6.06044817573539,-10897.5703995037
2018-01-05,2.46179775280899,-3,1.6,-5.6,51,35,48.4,8.2,84.5,1.7,3.6,7705,"평일","겨울",6.06044817573539,-10045.1164918129
2018-01-06,2.46179775280899,-2.8,2.9,-6.8,38,27,45.8,8.8,90.7,1.5,3.1,5681,"주말","겨울",6.06044817573539,-10483.7628248496
2018-01-07,2.46179775280899,-0.8,2.8,-5.7,47,36,42.1,3.1,32,0.8,2.5,5220,"주말","겨울",6.06044817573539,-10636.007277564
2018-01-08,0.9,1.3,4,-1.2,49,37,51.9,0.5,5.2,1.8,7.1,6309,"평일","겨울",0.81,-13071.0964206137
2018-01-09,0.5,-4.2,-1.2,-6.1,37,19,59.4,8.4,86.6,2.9,6.1,5988,"평일","겨울",0.25,-17805.3867092428
2018-01-10,0.3,-7.5,-4.8,-10.3,27,13,52,8.8,89.8,3,6.1,4476,"평일","겨울",0.09,-19378.7163059284
2018-01-11,2.46179775280899,-11.1,-7.4,-13.6,30,22,49.8,8.7,88.8,2.8,4.9,4337,"평일","겨울",6.06044817573539,-21125.9740066283
2018-01-12,0,-10.2,-5.4,-15.3,21,14,35.4,8.8,89.8,1.7,3.6,4401,"평일","겨울",0,-10788.198700863
2018-01-13,0.4,-4.4,-1.2,-6.6,48,37,67.3,0.9,9.2,0.8,1.7,3756,"주말","겨울",0.16,-17231.6088982985
2018-01-14,2.46179775280899,0.6,5.4,-4.4,64,50,64.1,5.6,57.1,1.2,2.8,4675,"주말","겨울",6.06044817573539,-12285.7548079757
2018-01-15,0.2,4.7,7.7,1.8,63,45,63.9,6.5,65.7,1.4,3.3,6993,"평일","겨울",0.04,-5307.23317749586
2018-01-16,0,3.5,6.8,0.1,97,74,59.1,0.5,5.1,0.7,2.2,7421,"평일","겨울",0,-4943.63318749624
2018-01-17,2.46179775280899,4.5,8.7,2.4,99,78,64.1,4.8,48.5,1.2,3.7,6990,"평일","겨울",6.06044817573539,-7408.71029185478
2018-01-18,2.46179775280899,2.1,4.5,0.3,46.205223880597,29.4179104477612,59.6,6.40671641791045,0,1.9,3.8,7054,"평일","겨울",6.06044817573539,22086.5469958098
2018-01-19,2.46179775280899,1,5.5,-2.5,51,28,43,8.7,87.9,1.6,3.7,8329,"평일","겨울",6.06044817573539,-2976.9365157737
2018-01-20,2.46179775280899,2.2,6.9,-1,86,56,57.6,5.3,53,1.6,3.6,6148,"주말","겨울",6.06044817573539,-10125.6726305676
2018-01-21,2.46179775280899,0.4,5.5,-3.7,52,33,36.6,8.2,82,1,3.2,5574,"주말","겨울",6.06044817573539,-4704.15515066682
2018-01-22,3.3,0.2,4,-5.3,38,21,56.5,0.7,7,1.5,5.1,4929,"평일","겨울",10.89,-9945.16301823035
2018-01-23,2.46179775280899,-11.7,-5.3,-14.6,21,12,42,9.1,90.1,3.7,5.4,4263,"평일","겨울",6.06044817573539,-13071.0811325491
2018-01-24,2.46179775280899,-14.2,-10.7,-16.3,26,10,31.6,8.9,88.1,3.4,7.2,3370,"평일","겨울",6.06044817573539,-21651.0221328079
2018-01-25,2.46179775280899,-14,-9.5,-16.4,22,12,32.6,8.3,82.2,2.8,4.8,3307,"평일","겨울",6.06044817573539,-16298.4492197162
2018-01-26,2.46179775280899,-14.8,-10.7,-17.8,46.205223880597,29.4179104477612,34.9,6.40671641791045,0,2.6,4.6,3116,"평일","겨울",6.06044817573539,11719.2848883565
2018-01-27,2.46179775280899,-9.9,-3.5,-15.9,37,26,37.4,9,88.2,1.4,3.4,2833,"주말","겨울",6.06044817573539,-11969.2216301165
2018-01-28,2.46179775280899,-6.3,-1.2,-9.3,26,17,36,7.6,74.5,2.6,5.6,3028,"주말","겨울",6.06044817573539,-13194.7230397006
2018-01-29,2.46179775280899,-8.5,-4.7,-11.6,39,16,35,8.9,87.3,2.7,6.2,4425,"평일","겨울",6.06044817573539,-13920.7310198363
2018-01-30,2.9,-5.3,-0.8,-11.4,36,20,62,5.6,54.4,1.3,3.8,3591,"평일","겨울",8.41,-11897.4954895405
