"date","precipitation","temp_mean","temp_highest","temp_lowest","PM10","PM2.5","humidity","sunshine_sum","sunshine_rate","wind_mean","wind_max","rental","weekday.Weekday","weekday.Holiday","season.Spring","season.Summer","season.Fall","season.Winter"
"2018-01-02",1.4,-1.8,1.8,-4.3,36,22,42,7.9,82.3,1.8,4.9,7136,1,0,0,0,0,1
"2018-01-03",0,-4.7,-0.4,-7.1,31,19,42.3,8.6,88.7,2.2,3.5,7156,1,0,0,0,0,1
"2018-01-04",0,-4.7,-0.7,-8.7,39,24,43,6.2,63.9,1.4,3.5,7102,1,0,0,0,0,1
"2018-01-05",0,-3,1.6,-5.6,51,35,48.4,8.2,84.5,1.7,3.6,7705,1,0,0,0,0,1
"2018-01-06",0,-2.8,2.9,-6.8,38,27,45.8,8.8,90.7,1.5,3.1,5681,0,1,0,0,0,1
"2018-01-07",0,-0.8,2.8,-5.7,47,36,42.1,3.1,32,0.8,2.5,5220,0,1,0,0,0,1
"2018-01-08",0.9,1.3,4,-1.2,49,37,51.9,0.5,5.2,1.8,7.1,6309,1,0,0,0,0,1
"2018-01-09",0.5,-4.2,-1.2,-6.1,37,19,59.4,8.4,86.6,2.9,6.1,5988,1,0,0,0,0,1
"2018-01-10",0.3,-7.5,-4.8,-10.3,27,13,52,8.8,89.8,3,6.1,4476,1,0,0,0,0,1
"2018-01-11",0,-11.1,-7.4,-13.6,30,22,49.8,8.7,88.8,2.8,4.9,4337,1,0,0,0,0,1
"2018-01-12",0,-10.2,-5.4,-15.3,21,14,35.4,8.8,89.8,1.7,3.6,4401,1,0,0,0,0,1
"2018-01-13",0.4,-4.4,-1.2,-6.6,48,37,67.3,0.9,9.2,0.8,1.7,3756,0,1,0,0,0,1
"2018-01-14",0,0.6,5.4,-4.4,64,50,64.1,5.6,57.1,1.2,2.8,4675,0,1,0,0,0,1
"2018-01-15",0.2,4.7,7.7,1.8,63,45,63.9,6.5,65.7,1.4,3.3,6993,1,0,0,0,0,1
"2018-01-16",0,3.5,6.8,0.1,97,74,59.1,0.5,5.1,0.7,2.2,7421,1,0,0,0,0,1
"2018-01-17",0,4.5,8.7,2.4,99,78,64.1,4.8,48.5,1.2,3.7,6990,1,0,0,0,0,1
"2018-01-19",0,1,5.5,-2.5,51,28,43,8.7,87.9,1.6,3.7,8329,1,0,0,0,0,1
"2018-01-20",0,2.2,6.9,-1,86,56,57.6,5.3,53,1.6,3.6,6148,0,1,0,0,0,1
"2018-01-21",0,0.4,5.5,-3.7,52,33,36.6,8.2,82,1,3.2,5574,0,1,0,0,0,1
"2018-01-22",3.3,0.2,4,-5.3,38,21,56.5,0.7,7,1.5,5.1,4929,1,0,0,0,0,1
"2018-01-23",0,-11.7,-5.3,-14.6,21,12,42,9.1,90.1,3.7,5.4,4263,1,0,0,0,0,1
"2018-01-24",0,-14.2,-10.7,-16.3,26,10,31.6,8.9,88.1,3.4,7.2,3370,1,0,0,0,0,1
"2018-01-25",0,-14,-9.5,-16.4,22,12,32.6,8.3,82.2,2.8,4.8,3307,1,0,0,0,0,1
"2018-01-27",0,-9.9,-3.5,-15.9,37,26,37.4,9,88.2,1.4,3.4,2833,0,1,0,0,0,1
"2018-01-28",2.1,-6.3,-1.2,-9.3,26,17,36,7.6,74.5,2.6,5.6,3028,0,1,0,0,0,1
"2018-01-29",0,-8.5,-4.7,-11.6,39,16,35,8.9,87.3,2.7,6.2,4425,1,0,0,0,0,1
"2018-01-30",2.9,-5.3,-0.8,-11.4,36,20,62,5.6,54.4,1.3,3.8,3591,1,0,0,0,0,1
"2018-01-31",0,-2.6,0,-5.2,35,18,54.5,1.8,17.5,1.6,3.4,4104,1,0,0,0,0,1
"2018-02-01",1.4,-4,1.2,-8.8,34,21,44.1,9.1,88.3,1.6,3.9,5821,1,0,0,0,0,1
"2018-02-02",0,-2.4,3.8,-7.6,48,32,51.1,8.8,84.6,1.6,3.6,6557,1,0,0,0,0,1
"2018-02-03",0.5,-7.3,-2.1,-10.4,31,19,47,9.1,87.5,3.8,5.7,3499,0,1,0,0,0,1
"2018-02-04",0,-9.5,-5.2,-12.8,27,20,40.9,9.1,87.5,3.1,5.6,2642,0,1,0,0,0,1
"2018-02-05",0,-9.4,-5.1,-11.8,23,14,37.8,9.3,88.6,3,5.6,4213,1,0,0,0,0,1
"2018-02-06",0,-10.1,-5.8,-12.8,27,17,36.5,9,85.7,3.1,4.9,4257,1,0,0,0,0,1
"2018-02-07",0,-8,-1.6,-13.4,34,23,39.8,9.2,87.6,1.5,3.3,5028,1,0,0,0,0,1
"2018-02-08",0,-4.4,2,-9.7,45,32,43.3,9.2,86.8,1.2,3,6114,1,0,0,0,0,1
"2018-02-09",0,0.4,6.1,-5.3,63,48,43.9,2.2,20.8,1.1,3,6905,1,0,0,0,0,1
"2018-02-10",0,-0.5,3.2,-6.9,66,39,47.4,5.3,50,3,6.3,4829,0,1,0,0,0,1
"2018-02-11",0,-6.1,-2.2,-9.5,44,13,42.5,6.6,61.7,2.7,5.1,3047,0,1,0,0,0,1
"2018-02-12",0,-5.8,-1.8,-9.6,41,13,40.8,8.7,81.3,2.7,5.2,5231,1,0,0,0,0,1
"2018-02-13",2.8,-0.8,4.3,-7.4,43,14,54.5,8.3,76.9,2.7,5.6,6863,1,0,0,0,0,1
"2018-02-14",2.8,3.5,8.7,-0.7,59,27,51,3.3,30.6,2.6,5.4,7477,1,0,0,0,0,1
"2018-02-16",4.2,-1.1,4.9,-5.5,41,16,40.1,9.7,89,2.1,5.5,3047,1,0,0,0,0,1
"2018-02-17",0,-3,1.4,-7.1,41.4,24.2,25.6,9,82.6,2.9,5.5,3494,0,1,0,0,0,1
"2018-02-18",2.9,-0.4,5.2,-4.9,30,14,26.9,7.2,66.1,1.3,3.5,5191,0,1,0,0,0,1
"2018-02-19",0,1.8,6.8,-1.9,51,33,48.6,4.8,43.6,1.5,3,8563,1,0,0,0,0,1
"2018-02-20",0,0.9,5.5,-2.4,51,32,41,8.3,75.5,2.5,5.8,8899,1,0,0,0,0,1
"2018-02-21",2.9,-0.9,4.4,-4.5,32,17,31.5,9.8,89.1,2.3,5.2,8342,1,0,0,0,0,1
"2018-02-22",0.4,1.3,5.4,-3.9,42,25,59,6.4,57.7,2.2,5.2,8580,1,0,0,0,0,1
"2018-02-23",3.7,4.2,8.6,-0.3,79,55,81.1,4.8,43.2,1.9,5,6408,1,0,0,0,0,1
"2018-02-24",0,2.4,7.2,-1.1,68,47,49.4,7.6,67.9,2.1,3.9,7198,0,1,0,0,0,1
"2018-02-25",3.2,1.9,7.9,-1.6,36,25,40.6,9.2,82.1,1.7,3.8,7595,0,1,0,0,0,1
"2018-02-26",0,3.1,10.4,-3.2,55,36,43.1,10.2,91.1,1.4,3.6,10712,1,0,0,0,0,1
"2018-02-27",0,4.2,6.9,0.6,82,55,48.8,0,0,0.9,1.8,10064,1,0,0,0,0,1
"2018-02-28",25,4.6,7.8,1.8,67,43,73.3,0,0,2,3.7,4230,1,0,0,0,0,1
"2018-03-01",0.5,-0.2,3,-4.3,35,26,61.9,8.7,76.3,3.8,6.9,5761,1,0,1,0,0,0
"2018-03-02",0,-0.7,5.4,-6.7,58,24,34,10.3,90.4,1.5,3.3,9388,1,0,1,0,0,0
"2018-03-03",0,7.9,16.2,-0.1,52,26,38.1,10.1,88.6,1.5,3.9,16029,0,1,1,0,0,0
"2018-03-04",11.5,9.8,11.9,7.6,28,19,89.1,0,0,1.2,3.5,5373,0,1,1,0,0,0
"2018-03-05",3.5,5.5,11.4,1.3,8,5,67.5,7,60.9,2,3.5,9943,1,0,1,0,0,0
"2018-03-06",3.5,4.5,10.9,-1.1,26,15,46.8,10.6,91.4,1.6,3.7,14028,1,0,1,0,0,0
"2018-03-07",0.5,6.4,10.7,2.2,25,14,54,3,25.9,1.8,3.2,12925,1,0,1,0,0,0
"2018-03-08",4,4.6,9.7,2.7,29,23,76,5.1,44,1.9,4.5,8812,1,0,1,0,0,0
