"date","rental"
"2021-01-01",32504
"2021-01-02",26340
"2021-01-03",23566
"2021-01-04",35253
"2021-01-05",30719
"2021-01-06",30245
"2021-01-07",18178
"2021-01-08",22786
"2021-01-09",16938
"2021-01-10",21757
"2021-01-11",30961
"2021-01-12",33179
"2021-01-13",47960
"2021-01-14",45132
"2021-01-15",42982
"2021-01-16",23569
"2021-01-17",21835
"2021-01-18",27420
"2021-01-19",33302
"2021-01-20",42664
"2021-01-21",35748
"2021-01-22",40317
"2021-01-23",43236
"2021-01-24",59703
"2021-01-25",65896
"2021-01-26",41967
"2021-01-27",48005
"2021-01-28",23733
"2021-01-29",29257
"2021-01-30",27339
"2021-01-31",38151
"2021-02-01",40973
"2021-02-02",31311
"2021-02-03",31268
"2021-02-04",37075
"2021-02-05",40767
"2021-02-06",36075
"2021-02-07",38789
"2021-02-08",38189
"2021-02-09",41424
"2021-02-10",42930
"2021-02-11",53241
"2021-02-12",51366
"2021-02-13",44178
"2021-02-14",47616
"2021-02-15",34720
"2021-02-16",26447
"2021-02-17",26137
"2021-02-18",33860
"2021-02-19",43460
"2021-02-20",59896
"2021-02-21",61527
"2021-02-22",58251
"2021-02-23",47815
"2021-02-24",50488
"2021-02-25",50047
"2021-02-26",64850
"2021-02-27",67692
"2021-02-28",53695
"2021-03-01",16607
"2021-03-02",51889
"2021-03-03",54936
"2021-03-04",66368
"2021-03-05",74537
"2021-03-06",49261
"2021-03-07",65085
"2021-03-08",68137
"2021-03-09",66161
"2021-03-10",58140
"2021-03-11",45276
"2021-03-12",63893
"2021-03-13",68314
"2021-03-14",58614
"2021-03-15",58471
"2021-03-16",68102
"2021-03-17",64924
"2021-03-18",73325
"2021-03-19",96371
"2021-03-20",51728
"2021-03-21",40168
"2021-03-22",68050
"2021-03-23",74154
"2021-03-24",81823
"2021-03-25",86137
"2021-03-26",60243
"2021-03-27",25562
"2021-03-28",29546
"2021-03-29",27048
"2021-03-30",52240
"2021-03-31",91805
"2021-04-01",97335
"2021-04-02",84662
"2021-04-03",18531
"2021-04-04",63991
"2021-04-05",88746
"2021-04-06",96808
"2021-04-07",93336
"2021-04-08",90261
"2021-04-09",93932
"2021-04-10",91946
"2021-04-11",93427
"2021-04-12",39174
"2021-04-13",55171
"2021-04-14",77023
"2021-04-15",88634
"2021-04-16",74609
"2021-04-17",55940
"2021-04-18",81548
"2021-04-19",89790
"2021-04-20",94025
"2021-04-21",99173
"2021-04-22",87636
"2021-04-23",75025
"2021-04-24",87552
"2021-04-25",108169
"2021-04-26",103158
"2021-04-27",83915
"2021-04-28",77718
"2021-04-29",79556
"2021-04-30",28461
"2021-05-01",46389
"2021-05-02",88146
"2021-05-03",97943
"2021-05-04",37516
"2021-05-05",97342
"2021-05-06",92424
"2021-05-07",26918
"2021-05-08",26895
"2021-05-09",90584
"2021-05-10",78717
"2021-05-11",103322
"2021-05-12",104514
"2021-05-13",110459
"2021-05-14",111102
"2021-05-15",65487
"2021-05-16",28240
"2021-05-17",57561
"2021-05-18",107438
"2021-05-19",107655
"2021-05-20",84737
"2021-05-21",63886
"2021-05-22",106469
"2021-05-23",106770
"2021-05-24",79692
"2021-05-25",63433
"2021-05-26",97886
"2021-05-27",57080
"2021-05-28",56331
"2021-05-29",85158
"2021-05-30",81376
"2021-05-31",89559
"2021-06-01",93567
"2021-06-02",110988
"2021-06-03",48486
"2021-06-04",108465
"2021-06-05",103879
"2021-06-06",107541
"2021-06-07",102215
"2021-06-08",114820
"2021-06-09",111862
"2021-06-10",86278
"2021-06-11",82609
"2021-06-12",103439
"2021-06-13",105184
"2021-06-14",113086
"2021-06-15",93372
