"date","rental"
"2021-01-01",32765
"2021-01-02",25928
"2021-01-03",22838
"2021-01-04",36165
"2021-01-05",30601
"2021-01-06",30294
"2021-01-07",17667
"2021-01-08",22058
"2021-01-09",16554
"2021-01-10",21801
"2021-01-11",31791
"2021-01-12",33366
"2021-01-13",47608
"2021-01-14",45015
"2021-01-15",42516
"2021-01-16",23724
"2021-01-17",21523
"2021-01-18",27089
"2021-01-19",33653
"2021-01-20",42480
"2021-01-21",36506
"2021-01-22",40402
"2021-01-23",42629
"2021-01-24",59218
"2021-01-25",65532
"2021-01-26",42505
"2021-01-27",48079
"2021-01-28",23334
"2021-01-29",28966
"2021-01-30",26897
"2021-01-31",37068
"2021-02-01",40121
"2021-02-02",31148
"2021-02-03",31852
"2021-02-04",36712
"2021-02-05",39695
"2021-02-06",34459
"2021-02-07",38941
"2021-02-08",37552
"2021-02-09",41461
"2021-02-10",42007
"2021-02-11",52788
"2021-02-12",50912
"2021-02-13",43905
"2021-02-14",47526
"2021-02-15",34512
"2021-02-16",26262
"2021-02-17",26049
"2021-02-18",32745
"2021-02-19",42906
"2021-02-20",58813
"2021-02-21",60250
"2021-02-22",57342
"2021-02-23",47246
"2021-02-24",50487
"2021-02-25",50829
"2021-02-26",64350
"2021-02-27",67589
"2021-02-28",53598
"2021-03-01",16830
"2021-03-02",52948
"2021-03-03",55689
"2021-03-04",67666
"2021-03-05",75137
"2021-03-06",48974
"2021-03-07",64938
"2021-03-08",68903
"2021-03-09",66691
"2021-03-10",58748
"2021-03-11",45004
"2021-03-12",64243
"2021-03-13",66667
"2021-03-14",58856
"2021-03-15",58200
"2021-03-16",67849
"2021-03-17",64958
"2021-03-18",73019
"2021-03-19",96440
"2021-03-20",52823
"2021-03-21",40526
"2021-03-22",68177
"2021-03-23",74097
"2021-03-24",82073
"2021-03-25",86549
"2021-03-26",61148
"2021-03-27",26195
"2021-03-28",30083
"2021-03-29",26911
"2021-03-30",52105
"2021-03-31",92286
"2021-04-01",97654
"2021-04-02",85001
"2021-04-03",18914
"2021-04-04",63876
"2021-04-05",88920
"2021-04-06",97189
"2021-04-07",93411
"2021-04-08",90293
"2021-04-09",94039
"2021-04-10",92089
"2021-04-11",93658
"2021-04-12",40395
"2021-04-13",55846
"2021-04-14",77233
"2021-04-15",89279
"2021-04-16",74049
"2021-04-17",56161
"2021-04-18",81104
"2021-04-19",90265
"2021-04-20",94033
"2021-04-21",99285
"2021-04-22",87997
"2021-04-23",75490
"2021-04-24",88256
"2021-04-25",108740
"2021-04-26",103087
"2021-04-27",84731
"2021-04-28",78509
"2021-04-29",79997
"2021-04-30",29456
"2021-05-01",47093
"2021-05-02",88841
"2021-05-03",98595
"2021-05-04",38458
"2021-05-05",97477
"2021-05-06",91870
"2021-05-07",26783
"2021-05-08",26760
"2021-05-09",90415
"2021-05-10",80091
"2021-05-11",103476
"2021-05-12",104810
"2021-05-13",110940
"2021-05-14",111048
"2021-05-15",66137
"2021-05-16",28326
"2021-05-17",58859
"2021-05-18",107765
"2021-05-19",108342
"2021-05-20",83925
"2021-05-21",64790
"2021-05-22",106865
"2021-05-23",107295
"2021-05-24",78949
"2021-05-25",62987
"2021-05-26",98070
"2021-05-27",57616
"2021-05-28",56871
"2021-05-29",85898
"2021-05-30",82701
"2021-05-31",90785
"2021-06-01",93639
"2021-06-02",110248
"2021-06-03",48286
"2021-06-04",108119
"2021-06-05",103215
"2021-06-06",106051
"2021-06-07",103297
"2021-06-08",115038
"2021-06-09",111697
"2021-06-10",86195
"2021-06-11",82719
"2021-06-12",102878
"2021-06-13",104062
"2021-06-14",113019
"2021-06-15",93903
"2021-06-16",104191
"2021-06-17",95058
"2021-06-18",62446
"2021-06-19",103061
"2021-06-20",94575
"2021-06-21",111236
"2021-06-22",94090
"2021-06-23",104211
"2021-06-24",113339
"2021-06-25",110917
"2021-06-26",87421
"2021-06-27",65797
"2021-06-28",101209
"2021-06-29",94657
"2021-06-30",97583
"2021-07-01",108617
"2021-07-02",106771
"2021-07-03",39382
"2021-07-04",36462
"2021-07-05",87561
"2021-07-06",109170
"2021-07-07",78146
"2021-07-08",90459
"2021-07-09",99353
"2021-07-10",93768
"2021-07-11",75308
"2021-07-12",100465
"2021-07-13",93355
"2021-07-14",98729
"2021-07-15",97951
"2021-07-16",88097
"2021-07-17",99864
"2021-07-18",97136
"2021-07-19",56034
"2021-07-20",96178
"2021-07-21",90615
"2021-07-22",92447
"2021-07-23",88690
"2021-07-24",86403
"2021-07-25",87484
"2021-07-26",90875
"2021-07-27",96840
"2021-07-28",95755
"2021-07-29",95409
"2021-07-30",99337
"2021-07-31",91639
"2021-08-01",53343
"2021-08-02",78917
"2021-08-03",94036
"2021-08-04",99703
"2021-08-05",98754
"2021-08-06",75441
"2021-08-07",96676
"2021-08-08",75160
"2021-08-09",103659
"2021-08-10",105214
"2021-08-11",105266
"2021-08-12",104682
"2021-08-13",101993
"2021-08-14",101181
"2021-08-15",99486
"2021-08-16",101744
"2021-08-17",99665
"2021-08-18",102284
"2021-08-19",106657
"2021-08-20",108708
"2021-08-21",39388
"2021-08-22",83374
"2021-08-23",69843
"2021-08-24",58590
"2021-08-25",81371
"2021-08-26",81815
"2021-08-27",86910
"2021-08-28",94988
"2021-08-29",84702
"2021-08-30",99334
"2021-08-31",36916
"2021-09-01",72991
"2021-09-02",98055
"2021-09-03",108332
"2021-09-04",106371
"2021-09-05",102335
"2021-09-06",83993
"2021-09-07",28332
"2021-09-08",100272
"2021-09-09",107880
"2021-09-10",111431
"2021-09-11",105064
"2021-09-12",110805
"2021-09-13",113439
"2021-09-14",114173
"2021-09-15",107835
"2021-09-16",112068
"2021-09-17",112694
"2021-09-18",106850
"2021-09-19",99985
"2021-09-20",111831
"2021-09-21",45741
"2021-09-22",101197
"2021-09-23",109913
"2021-09-24",109741
"2021-09-25",78996
"2021-09-26",105602
"2021-09-27",102268
"2021-09-28",89887
"2021-09-29",52171
"2021-09-30",99323
"2021-10-01",63957
"2021-10-02",103624
"2021-10-03",111035
"2021-10-04",74340
"2021-10-05",84291
"2021-10-06",62597
"2021-10-07",72682
"2021-10-08",70641
"2021-10-09",79445
"2021-10-10",50053
"2021-10-11",84164
"2021-10-12",96148
"2021-10-13",107982
"2021-10-14",110005
"2021-10-15",96913
"2021-10-16",68001
"2021-10-17",67940
"2021-10-18",86627
"2021-10-19",85952
"2021-10-20",88191
"2021-10-21",95663
"2021-10-22",92822
"2021-10-23",88556
"2021-10-24",86786
"2021-10-25",98344
"2021-10-26",95213
"2021-10-27",100250
"2021-10-28",98975
"2021-10-29",105042
"2021-10-30",92637
"2021-10-31",95242
"2021-11-01",96415
"2021-11-02",92645
"2021-11-03",94577
"2021-11-04",90208
"2021-11-05",92025
"2021-11-06",90445
"2021-11-07",101738
"2021-11-08",43242
"2021-11-09",52907
"2021-11-10",64516
"2021-11-11",74397
"2021-11-12",72767
"2021-11-13",73620
"2021-11-14",82692
"2021-11-15",89825
"2021-11-16",85507
"2021-11-17",83655
"2021-11-18",82440
"2021-11-19",75017
"2021-11-20",35279
