"precipitation","temp_mean","PM10","PM2.5","humidity","sunshine_rate","wind_mean","rental"
1.3,-1.3,34,17,39.1,86.5,1.4,4950
1.6,-1.8,36,22,42,82.3,1.8,7136
1.6,-4.7,31,19,42.3,88.7,2.2,7156
1.7,-4.7,39,24,43,63.9,1.4,7102
1.8,-3,51,35,48.4,84.5,1.7,7705
1.8,-2.8,38,27,45.8,90.7,1.5,5681
1.6,-0.8,47,36,42.1,32,0.8,5220
0.9,1.3,49,37,51.9,5.2,1.8,6309
0.5,-4.2,37,19,59.4,86.6,2.9,5988
0.3,-7.5,27,13,52,89.8,3,4476
1.8,-11.1,30,22,49.8,88.8,2.8,4337
0,-10.2,21,14,35.4,89.8,1.7,4401
0.4,-4.4,48,37,67.3,9.2,0.8,3756
1.7,0.6,64,50,64.1,57.1,1.2,4675
0.2,4.7,63,45,63.9,65.7,1.4,6993
0,3.5,97,74,59.1,5.1,0.7,7421
1.7,4.5,99,78,64.1,48.5,1.2,6990
0,2.1,80,56,59.6,0,1.9,7054
1.7,1,51,28,43,87.9,1.6,8329
1.8,2.2,86,56,57.6,53,1.6,6148
1,0.4,52,33,36.6,82,1,5574
3.3,0.2,38,21,56.5,7,1.5,4929
1.6,-11.7,21,12,42,90.1,3.7,4263
0.8,-14.2,26,10,31.6,88.1,3.4,3370
0.8,-14,22,12,32.6,82.2,2.8,3307
0.9,-14.8,28,18,34.9,0,2.6,3116
1.1,-9.9,37,26,37.4,88.2,1.4,2833
1,-6.3,26,17,36,74.5,2.6,3028
0.9,-8.5,39,16,35,87.3,2.7,4425
2.9,-5.3,36,20,62,54.4,1.3,3591
0,-2.6,35,18,54.5,17.5,1.6,4104
1.7,-4,34,21,44.1,88.3,1.6,5821
1.7,-2.4,48,32,51.1,84.6,1.6,6557
0.5,-7.3,31,19,47,87.5,3.8,3499
1.5,-9.5,27,20,40.9,87.5,3.1,2642
1.2,-9.4,23,14,37.8,88.6,3,4213
1,-10.1,27,17,36.5,85.7,3.1,4257
1.4,-8,34,23,39.8,87.6,1.5,5028
1.7,-4.4,45,32,43.3,86.8,1.2,6114
1.7,0.4,63,48,43.9,20.8,1.1,6905
1.8,-0.5,66,39,47.4,50,3,4829
0,-6.1,44,13,42.5,61.7,2.7,3047
0,-5.8,41,13,40.8,81.3,2.7,5231
1.8,-0.8,43,14,54.5,76.9,2.7,6863
1.7,3.5,59,27,51,30.6,2.6,7477
1.5,-0.7,32,14,28,0,2.5,3935
1.4,-1.1,41,16,40.1,89,2.1,3047
1.8,1.8,51,33,48.6,43.6,1.5,8563
1.5,0.9,51,32,41,75.5,2.5,8899
0.8,-0.9,32,17,31.5,89.1,2.3,8342
0.4,1.3,42,25,59,57.7,2.2,8580
3.7,4.2,79,55,81.1,43.2,1.9,6408
1.8,2.4,68,47,49.4,67.9,2.1,7198
1.5,1.9,36,25,40.6,82.1,1.7,7595
1.7,3.1,55,36,43.1,91.1,1.4,10712
1.8,4.2,82,55,48.8,0,0.9,10064
25,4.6,67,43,73.3,0,2,4230
0.5,-0.2,35,26,61.9,76.3,3.8,5761
0.8,-0.7,58,24,34,90.4,1.5,9388
0,7.9,52,26,38.1,88.6,1.5,16029
11.5,9.8,28,19,89.1,0,1.2,5373
3.5,5.5,8,5,67.5,60.9,2,9943
1.8,4.5,26,15,46.8,91.4,1.6,14028
0.5,6.4,25,14,54,25.9,1.8,12925
4,4.6,29,23,76,44,1.9,8812
1.7,4.5,41,31,63.3,43.6,1.5,13573
