"date","precipitation","temp_mean","temp_highest","temp_lowest","PM10","PM2.5","humidity","sunshine_sum","sunshine_rate","wind_mean","wind_max","rental"
2018-01-01,0.8,-1.3,3.8,-5.1,34,17,39.1,8.3,86.5,1.4,3.8,4950
2018-01-02,0.7,-1.8,1.8,-4.3,36,22,42,7.9,82.3,1.8,4.9,7136
2018-01-03,1.1,-4.7,-0.4,-7.1,31,19,42.3,8.6,88.7,2.2,3.5,7156
2018-01-04,0.3,-4.7,-0.7,-8.7,39,24,43,6.2,63.9,1.4,3.5,7102
2018-01-05,0.8,-3,1.6,-5.6,51,35,48.4,8.2,84.5,1.7,3.6,7705
2018-01-06,1.1,-2.8,2.9,-6.8,38,27,45.8,8.8,90.7,1.5,3.1,5681
2018-01-07,0.3,-0.8,2.8,-5.7,47,36,42.1,3.1,32,0.8,2.5,5220
2018-01-08,0.9,1.3,4,-1.2,49,37,51.9,0.5,5.2,1.8,7.1,6309
2018-01-09,0.5,-4.2,-1.2,-6.1,37,19,59.4,8.4,86.6,2.9,6.1,5988
2018-01-10,0.3,-7.5,-4.8,-10.3,27,13,52,8.8,89.8,3,6.1,4476
2018-01-11,1.9,-11.1,-7.4,-13.6,30,22,49.8,8.7,88.8,2.8,4.9,4337
2018-01-12,0,-10.2,-5.4,-15.3,21,14,35.4,8.8,89.8,1.7,3.6,4401
2018-01-13,0.4,-4.4,-1.2,-6.6,48,37,67.3,0.9,9.2,0.8,1.7,3756
2018-01-14,1.4,0.6,5.4,-4.4,64,50,64.1,5.6,57.1,1.2,2.8,4675
2018-01-15,0.2,4.7,7.7,1.8,63,45,63.9,6.5,65.7,1.4,3.3,6993
2018-01-16,0,3.5,6.8,0.1,97,74,59.1,0.5,5.1,0.7,2.2,7421
2018-01-17,1.7,4.5,8.7,2.4,99,78,64.1,4.8,48.5,1.2,3.7,6990
2018-01-18,0,2.1,4.5,0.3,80,56,59.6,0,0,1.9,3.8,7054
2018-01-19,0.6,1,5.5,-2.5,51,28,43,8.7,87.9,1.6,3.7,8329
2018-01-20,0.4,2.2,6.9,-1,86,56,57.6,5.3,53,1.6,3.6,6148
2018-01-21,0.8,0.4,5.5,-3.7,52,33,36.6,8.2,82,1,3.2,5574
2018-01-22,3.3,0.2,4,-5.3,38,21,56.5,0.7,7,1.5,5.1,4929
2018-01-23,2.9,-11.7,-5.3,-14.6,21,12,42,9.1,90.1,3.7,5.4,4263
2018-01-24,3.4,-14.2,-10.7,-16.3,26,10,31.6,8.9,88.1,3.4,7.2,3370
2018-01-25,2.6,-14,-9.5,-16.4,22,12,32.6,8.3,82.2,2.8,4.8,3307
2018-01-26,5.7,-14.8,-10.7,-17.8,28,18,34.9,0,0,2.6,4.6,3116
2018-01-27,1.5,-9.9,-3.5,-15.9,37,26,37.4,9,88.2,1.4,3.4,2833
2018-01-28,1.3,-6.3,-1.2,-9.3,26,17,36,7.6,74.5,2.6,5.6,3028
2018-01-29,1.3,-8.5,-4.7,-11.6,39,16,35,8.9,87.3,2.7,6.2,4425
2018-01-30,2.9,-5.3,-0.8,-11.4,36,20,62,5.6,54.4,1.3,3.8,3591
2018-01-31,0,-2.6,0,-5.2,35,18,54.5,1.8,17.5,1.6,3.4,4104
2018-02-01,0.7,-4,1.2,-8.8,34,21,44.1,9.1,88.3,1.6,3.9,5821
2018-02-02,1,-2.4,3.8,-7.6,48,32,51.1,8.8,84.6,1.6,3.6,6557
2018-02-03,0.5,-7.3,-2.1,-10.4,31,19,47,9.1,87.5,3.8,5.7,3499
2018-02-04,1.6,-9.5,-5.2,-12.8,27,20,40.9,9.1,87.5,3.1,5.6,2642
2018-02-05,1.8,-9.4,-5.1,-11.8,23,14,37.8,9.3,88.6,3,5.6,4213
2018-02-06,1.8,-10.1,-5.8,-12.8,27,17,36.5,9,85.7,3.1,4.9,4257
2018-02-07,1.1,-8,-1.6,-13.4,34,23,39.8,9.2,87.6,1.5,3.3,5028
2018-02-08,1.1,-4.4,2,-9.7,45,32,43.3,9.2,86.8,1.2,3,6114
2018-02-09,0,0.4,6.1,-5.3,63,48,43.9,2.2,20.8,1.1,3,6905
